,Unnamed: 0,node1,node2,label,nb_common_labels,nb_common_genres,squared_popularity_diff,cn,pa,tn,minTriangles,maxTriangles,minCoefficient,maxCoefficient,sp,sl
0,1558,186,537,0,0.0,0.0,64,0.0,16.0,10.0,1,6,0.21428571428571427,1.0,0.0,0.0
1,471,2221,7434,0,1.0,0.0,67,0.0,73.0,56.0,0,34,0.0,0.022895622895622896,0.0,0.0
2,381,1002,1013,0,2.0,0.0,3,1.0,2.0,2.0,0,1,0.0,1.0,0.0,0.0
3,4036,1396,7188,0,0.0,0.0,44,0.0,684.0,42.0,9,38,0.06031746031746032,0.6,0.0,0.0
4,229,2503,3812,0,0.0,0.0,2,0.0,4.0,5.0,0,1,0.0,0.16666666666666666,0.0,0.0
0,682,1227,1310,0,1.0,0.0,18,1.0,14.0,8.0,0,21,0.0,1.0,0.0,0.0
1,2634,937,832,0,0.0,0.0,21,0.0,16.0,10.0,0,4,0.0,0.1111111111111111,0.0,0.0
2,2854,1334,7931,0,0.0,0.0,49,0.0,162.0,26.0,3,36,0.1422924901185771,1.0,0.0,0.0
3,4910,1808,2737,0,0.0,0.0,58,0.0,40.0,13.0,4,16,0.4,0.5714285714285714,0.0,0.0
4,2550,1997,1525,0,0.0,0.0,43,0.0,46.0,41.0,0,370,0.0,0.47435897435897434,0.0,0.0
0,2931,1785,1978,0,0.0,0.0,50,0.0,20.0,8.0,1,6,0.16666666666666666,1.0,0.0,0.0
1,2593,1261,7330,0,0.0,0.0,51,1.0,57.0,20.0,2,11,0.0718954248366013,0.6666666666666666,0.0,0.0
2,812,1676,3834,0,0.0,0.0,16,0.0,46.0,8.0,0,13,0.0,0.6190476190476191,0.0,0.0
3,166,571,432,0,0.0,0.0,84,0.0,85.0,16.0,1,18,0.1,0.32727272727272727,0.0,0.0
4,409,2370,5286,0,0.0,0.0,39,0.0,2.0,3.0,0,0,0.0,0.0,0.0,0.0
0,4954,2318,2225,0,0.0,0.0,40,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0
1,767,1515,1649,0,0.0,0.0,27,0.0,12.0,10.0,0,6,0.0,0.16666666666666666,0.0,0.0
2,1919,2438,2701,0,0.0,0.0,48,0.0,52.0,11.0,3,4,0.14285714285714285,0.6666666666666666,0.0,0.0
3,4898,366,1210,0,0.0,0.0,35,0.0,3.0,4.0,0,2,0.0,0.6666666666666666,0.0,0.0
4,4397,2692,4607,0,2.0,0.0,25,3.0,200.0,20.0,11,22,0.18333333333333332,0.5238095238095238,1.0,0.0
0,604,2323,7556,0,0.0,0.0,25,0.0,183.0,48.0,3,47,0.047474747474747475,1.0,0.0,0.0
1,7,2024,2810,0,0.0,0.0,8,0.0,8.0,5.0,0,2,0.0,0.6666666666666666,0.0,0.0
2,4070,1772,7451,0,0.0,0.0,10,1.0,756.0,17.0,6,11,0.21428571428571427,0.24444444444444444,0.0,0.0
3,1771,2413,2377,0,0.0,0.0,37,0.0,28.0,13.0,0,46,0.0,0.8363636363636363,0.0,0.0
4,424,406,2573,0,0.0,0.0,34,0.0,130.0,16.0,2,11,0.05555555555555555,0.5238095238095238,0.0,0.0
0,1207,2519,7775,0,0.0,0.0,20,0.0,70.0,6.0,0,1,0.0,0.3333333333333333,0.0,0.0
1,1604,1096,7361,0,0.0,0.0,43,0.0,14.0,12.0,0,10,0.0,0.18181818181818182,0.0,0.0
2,3128,1326,818,0,0.0,0.0,29,0.0,4.0,4.0,1,1,1.0,1.0,0.0,0.0
3,1270,2622,3913,0,0.0,0.0,20,0.0,6.0,5.0,1,3,1.0,1.0,0.0,0.0
4,954,1275,507,0,0.0,0.0,2,0.0,15.0,6.0,2,3,0.6666666666666666,1.0,0.0,0.0
0,3473,1787,8003,0,0.0,0.0,21,0.0,18.0,9.0,0,9,0.0,0.42857142857142855,0.0,0.0
1,3438,2678,3798,0,0.0,0.0,20,0.0,4.0,5.0,0,3,0.0,0.5,0.0,0.0
